iter	RMSE
0	0.8165985049
1	0.7956321179
2	0.7771860928
3	0.7618404197
4	0.7489656281
5	0.7375661188
6	0.7263069529
7	0.7153218464
8	0.705599544
9	0.6968819033
10	0.68857003
11	0.6816243021
12	0.6762267757
13	0.6706020414
14	0.6644754306
15	0.6594363937
16	0.6555152974
17	0.6504739527
18	0.6469410773
19	0.6433985296
20	0.639977296
21	0.6367182285
22	0.6338672698
23	0.6310358123
24	0.6288900806
25	0.6263833308
26	0.6240953129
27	0.6213766186
28	0.6195327096
29	0.6169597425
30	0.6144718193
31	0.6125288879
32	0.6108712513
33	0.6091778636
34	0.6076960494
35	0.606025771
36	0.6042503287
37	0.6023809975
38	0.601091521
39	0.5996852888
40	0.5978778755
41	0.5962302528
42	0.5952512215
43	0.5940293847
44	0.5926218088
45	0.5915509637
46	0.5903714415
47	0.5895171742
48	0.588126445
49	0.5868525735
50	0.5857930311
51	0.5850550132
52	0.5841346464
53	0.5832787525
54	0.5823957627
55	0.5817939782
56	0.5809788633
57	0.5801717769
58	0.5794604451
59	0.5788716468
60	0.5779899311
61	0.5771276759
62	0.5763904823
63	0.5759121842
64	0.5749745134
65	0.5745108929
66	0.5736788456
67	0.5731483873
68	0.5723724597
69	0.5719776856
70	0.5712779515
71	0.5706054255
72	0.569486925
73	0.5686671858
74	0.5678582305
75	0.5674367776
76	0.5668418885
77	0.5664048244
78	0.5657211811
79	0.5649444271
80	0.5642410397
81	0.5636904246
82	0.5630326502
83	0.5623748628
84	0.5618480544
85	0.5611399126
86	0.560800654
87	0.560120485
88	0.5597408748
89	0.5594026907
90	0.5588057866
91	0.5580489022
92	0.557722377
93	0.5571936072
94	0.5565718915
95	0.5559093139
96	0.5549593884
97	0.5543845817
98	0.5540463715
99	0.5536841175
100	0.5530919342
101	0.5523636999
102	0.5521052231
103	0.5515068451
104	0.5509953591
105	0.550623794
106	0.5502515058
107	0.5497346335
108	0.5491770418
109	0.5485656147
110	0.5480043643
111	0.5474429806
112	0.5470626739
113	0.5465496141
114	0.5460540394
115	0.5456419672
116	0.5451215667
117	0.5443191401
118	0.5436513748
119	0.5431881585
120	0.5425772448
121	0.5420729419
122	0.5416710833
123	0.5412452766
124	0.5408572362
125	0.5402883735
126	0.5397945322
127	0.539436109
128	0.5390438036
129	0.538742688
130	0.5384293477
131	0.5378660969
132	0.5372260029
133	0.5365312379
134	0.5360137197
135	0.5354585299
136	0.5351150092
137	0.53455403
138	0.5342339557
139	0.5335732351
140	0.5329211825
141	0.5326044479
142	0.5320641372
143	0.5317375112
144	0.5313833281
145	0.5309179621
146	0.5302869799
147	0.5298573954
148	0.5295791763
149	0.5292671286
150	0.529016955
151	0.5285175465
152	0.528011282
153	0.5274630332
154	0.5270402437
155	0.5264483178
156	0.5259646432
157	0.5256601665
158	0.52539587
159	0.5250515514
160	0.524588608
161	0.5242572198
162	0.5238349814
163	0.5236167319
164	0.5231800482
165	0.5230696081
166	0.5225706109
167	0.5224003588
168	0.5220988324
169	0.5217723059
170	0.5215470483
171	0.5211117797
172	0.5207436814
173	0.5204382885
174	0.520237767
175	0.5197575989
176	0.5192836053
177	0.5189116772
178	0.5186001059
179	0.5180976983
180	0.5177966267
181	0.5174573728
182	0.5172610616
183	0.5169256377
184	0.5165554601
185	0.5160251847
186	0.5156675944
187	0.5152553227
188	0.5150101709
189	0.514620362
190	0.5142973686
191	0.513982805
192	0.5136162581
193	0.5135524914
194	0.5129720362
195	0.512580447
196	0.5121833644
197	0.5118150898
198	0.5114123237
199	0.5110452684
200	0.5106961528
201	0.510384774
202	0.5098368083
203	0.5094477785
204	0.5091143584
205	0.5086536648
206	0.5082510849
207	0.5078604363
208	0.5075958105
209	0.5074099106
210	0.5073820398
211	0.5071474304
212	0.5067704527
213	0.5064979222
214	0.5063092582
215	0.5061585763
216	0.5058267106
217	0.5054695147
218	0.5051778335
219	0.5049386987
220	0.5046433653
221	0.5043035528
222	0.5042807399
223	0.5040104076
224	0.5035927776
225	0.5032472304
226	0.5027147427
227	0.5023599644
228	0.5020613639
229	0.5018901869
230	0.5014884577
231	0.5011008392
232	0.5007331946
233	0.500403892
234	0.5002319391
235	0.4998594631
236	0.4998293702
237	0.4993884416
238	0.4992017677
239	0.4990334432
240	0.4987580807
241	0.4983309733
242	0.4980559495
243	0.4977169781
244	0.49746078
245	0.4970754705
246	0.4967669622
247	0.4964304436
248	0.4962369927
249	0.4959262214
250	0.4956329293
251	0.4956026469
252	0.4953568206
253	0.4951741317
254	0.494850548
255	0.4944362989
256	0.4942359268
257	0.4942203104
258	0.4939078429
259	0.4937009809
260	0.493433396
261	0.493139543
262	0.492915649
263	0.4925089498
264	0.492207183
265	0.4920055002
266	0.4917895646
267	0.4916343879
268	0.4912501035
269	0.491110411
270	0.4910894835
271	0.4908345028
272	0.4907040094
273	0.4904304839
274	0.4901996868
275	0.4899932596
276	0.4897629549
277	0.4895383379
278	0.4893407138
279	0.4889757271
280	0.4887346526
281	0.4884334949
282	0.488106099
283	0.487752937
284	0.4875104422
285	0.4871944994
286	0.4869330981
287	0.4865627398
288	0.4863914885
289	0.4863753759
290	0.4861592963
291	0.4858758809
292	0.4855504924
293	0.4853019023
294	0.4850806374
295	0.4849538709
296	0.4849410984
297	0.4847336847
298	0.4843791284
299	0.4840306799
300	0.4837203607
301	0.4837077796
302	0.4834868881
303	0.4832084043
304	0.4829478387
305	0.482761423
306	0.4825976064
307	0.4822856132
308	0.482041616
309	0.4818279411
310	0.4814733074
311	0.4813107833
312	0.4809140875
313	0.4806608905
314	0.4804510793
315	0.4802355029
316	0.4799792933
317	0.4795839945
318	0.4794379124
319	0.4791943344
320	0.4791825521
321	0.4787614581
322	0.478562898
323	0.4783930412
324	0.4779763581
325	0.4777438804
326	0.4774606873
327	0.47713602
328	0.4769077393
329	0.4767063813
330	0.4766480843
331	0.4764657933
332	0.4761416935
333	0.4759178227
334	0.4756310566
335	0.4754054518
336	0.4750571661
337	0.4748041129
338	0.4745354459
339	0.4743055332
340	0.4741219607
341	0.4737944345
342	0.4735322302
343	0.4733104035
344	0.4729152641
345	0.4727237256
346	0.4727129729
347	0.4727002993
348	0.472569431
349	0.4724017924
350	0.4722661265
351	0.4721082001
352	0.471886987
353	0.4715716835
354	0.4714343083
355	0.4712829437
356	0.4710634703
357	0.4708872372
358	0.470673097
359	0.4704688281
360	0.4703057127
361	0.4700330601
362	0.4698364043
363	0.469655847
364	0.4693089244
365	0.4690368113
366	0.4687649924
367	0.4684710039
368	0.4681069975
369	0.4677685714
370	0.4674546684
371	0.4671819663
372	0.4669985979
373	0.4668100495
374	0.4666390137
375	0.4663930173
376	0.4661802027
377	0.4659859262
378	0.4657122739
379	0.4655582094
380	0.4655446307
381	0.4653715085
382	0.4651968476
383	0.4649927671
384	0.4648208239
385	0.4647304829
386	0.4644970812
387	0.4643775754
388	0.4641285868
389	0.4639655401
390	0.4637681013
391	0.463521915
392	0.4631690035
393	0.4630431562
394	0.4627835641
395	0.4625639878
396	0.4623087126
397	0.462155814
398	0.4620087271
399	0.461999956
400	0.4618164714
401	0.4615641654
402	0.4614493294
403	0.4613347984
404	0.4611029273
405	0.460959164
406	0.4608012077
407	0.4604839462
408	0.4602369735
409	0.4599552133
410	0.4597377998
411	0.4594630915
412	0.4593090934
413	0.4590759772
414	0.4590575988
415	0.458890469
416	0.4586612773
417	0.4585121928
418	0.4583837246
419	0.4582417512
420	0.4582318156
421	0.4580035872
422	0.4577874537
423	0.4576236507
424	0.4575434541
425	0.4574159699
426	0.4571208414
427	0.4571125582
428	0.4568488683
429	0.4567227074
430	0.4564777139
431	0.4563837788
432	0.4562433332
433	0.4560427282
434	0.4556806765
435	0.4555476447
436	0.4552466003
437	0.4550275116
438	0.4548118725
439	0.4546170506
440	0.4544607313
441	0.4542518515
442	0.4540903475
443	0.4538378475
444	0.4536822675
445	0.4535366697
446	0.4533792046
447	0.4531796501
448	0.4530161698
449	0.4528592339
450	0.4526320851
451	0.4523895546
452	0.4522113441
453	0.4519604235
454	0.4516080154
455	0.4514440801
456	0.4512880366
457	0.451045119
458	0.4510129736
459	0.4508140215
460	0.4505457352
461	0.4503099226
462	0.4500359864
463	0.4500269126
464	0.4498276846
465	0.4496412852
466	0.4494485888
467	0.4492513247
468	0.4491103984
469	0.4489518232
470	0.4487875872
471	0.4486385317
472	0.4485463698
473	0.4484194879
474	0.4484101885
475	0.4482921553
476	0.4481407452
477	0.4479716773
478	0.4477568613
479	0.4476053765
480	0.4473684228
481	0.4471376761
482	0.4468577603
483	0.4468476407
484	0.4466232674
485	0.4463785704
486	0.4462382814
487	0.4460257056
488	0.4459055402
489	0.4457181624
490	0.4455618198
491	0.4454079746
492	0.4452179133
493	0.4450475653
494	0.4449420502
495	0.4448084438
496	0.4445369811
497	0.444392241
498	0.4442090071
499	0.4440478798
