iter	Passed	Remaining
0	6	3377
1	13	3374
2	19	3258
3	26	3243
4	33	3296
5	39	3273
6	46	3241
7	52	3240
8	58	3217
9	65	3220
10	72	3220
11	79	3230
12	86	3257
13	93	3244
14	100	3235
15	106	3210
16	113	3235
17	119	3207
18	125	3184
19	131	3160
20	138	3149
21	144	3144
22	151	3141
23	157	3130
24	164	3127
25	171	3131
26	178	3134
27	184	3117
28	191	3104
29	197	3099
30	205	3104
31	212	3103
32	218	3096
33	224	3081
34	232	3086
35	240	3104
36	258	3240
37	266	3245
38	274	3242
39	281	3232
40	287	3222
41	295	3216
42	301	3202
43	310	3214
44	317	3208
45	323	3196
46	330	3190
47	337	3182
48	344	3170
49	351	3165
50	358	3152
51	365	3151
52	373	3150
53	380	3141
54	386	3126
55	393	3123
56	400	3115
57	407	3105
58	416	3110
59	422	3098
60	429	3093
61	438	3095
62	460	3194
63	467	3183
64	473	3170
65	481	3163
66	488	3157
67	496	3153
68	502	3141
69	510	3137
70	517	3125
71	523	3113
72	530	3102
73	537	3093
74	545	3091
75	558	3113
76	565	3109
77	572	3096
78	579	3088
79	586	3078
80	592	3065
81	598	3052
82	605	3040
83	611	3028
84	617	3016
85	624	3007
86	631	2996
87	638	2990
88	646	2983
89	654	2981
90	668	3005
91	676	2999
92	682	2988
93	689	2977
94	695	2966
95	702	2955
96	708	2945
97	715	2936
98	722	2925
99	728	2914
100	735	2904
101	742	2895
102	748	2885
103	754	2874
104	762	2866
105	768	2856
106	774	2846
107	781	2835
108	787	2826
109	794	2816
110	800	2804
111	806	2793
112	812	2781
113	818	2771
114	825	2763
115	831	2754
116	839	2746
117	868	2812
118	892	2856
119	898	2844
120	904	2832
121	910	2821
122	917	2811
123	923	2801
124	930	2790
125	935	2778
126	942	2766
127	948	2756
128	954	2746
129	961	2736
130	968	2728
131	974	2717
132	981	2708
133	987	2698
134	994	2688
135	1000	2677
136	1006	2667
137	1013	2657
138	1019	2647
139	1025	2638
140	1032	2629
141	1039	2619
142	1046	2613
143	1058	2617
144	1069	2618
145	1076	2609
146	1082	2598
147	1088	2589
148	1095	2580
149	1101	2570
150	1108	2560
151	1114	2551
152	1120	2542
153	1126	2531
154	1133	2523
155	1140	2513
156	1146	2504
157	1152	2493
158	1158	2484
159	1164	2475
160	1171	2467
161	1178	2458
162	1184	2448
163	1190	2438
164	1197	2430
165	1203	2420
166	1209	2411
167	1215	2401
168	1221	2393
169	1228	2384
170	1234	2374
171	1242	2368
172	1248	2360
173	1261	2364
174	1271	2360
175	1277	2351
176	1283	2342
177	1289	2332
178	1296	2324
179	1302	2314
180	1308	2305
181	1314	2296
182	1320	2287
183	1327	2279
184	1333	2271
185	1340	2262
186	1346	2254
187	1353	2246
188	1360	2237
189	1366	2229
190	1372	2220
191	1379	2212
192	1385	2203
193	1391	2194
194	1398	2186
195	1405	2179
196	1411	2171
197	1431	2183
198	1438	2175
199	1446	2169
200	1454	2162
201	1471	2170
202	1479	2164
203	1487	2158
204	1495	2152
205	1503	2145
206	1510	2137
207	1516	2129
208	1524	2121
209	1531	2114
210	1536	2105
211	1543	2096
212	1549	2088
213	1556	2079
214	1563	2072
215	1569	2063
216	1576	2056
217	1583	2048
218	1589	2039
219	1595	2030
220	1601	2022
221	1608	2014
222	1614	2005
223	1620	1997
224	1627	1988
225	1634	1981
226	1641	1973
227	1648	1966
228	1654	1958
229	1688	1982
230	1700	1979
231	1707	1972
232	1713	1963
233	1719	1955
234	1727	1947
235	1733	1939
236	1739	1929
237	1746	1922
238	1751	1913
239	1758	1905
240	1765	1897
241	1771	1889
242	1777	1880
243	1784	1872
244	1791	1864
245	1797	1856
246	1804	1848
247	1811	1840
248	1817	1832
249	1825	1825
250	1831	1817
251	1837	1808
252	1843	1800
253	1850	1792
254	1857	1784
255	1865	1777
256	1879	1776
257	1887	1770
258	1893	1762
259	1900	1753
260	1907	1746
261	1912	1737
262	1919	1729
263	1926	1722
264	1933	1714
265	1940	1706
266	1947	1699
267	1953	1691
268	1960	1683
269	1966	1675
270	1973	1667
271	1979	1659
272	1985	1651
273	1993	1644
274	2000	1636
275	2006	1628
276	2012	1620
277	2018	1612
278	2025	1604
279	2031	1596
280	2037	1588
281	2044	1580
282	2051	1572
