ta_r,ta_l,mm_r,mm_l,da_r,da_l
398.0,398.0,999.0,398.0,988.0,968.0
960.0,58.0,437.0,408.0,436.0,406.0
710.0,37.0,532.0,865.0,531.0,16.0
0.0,0.0,0.0,0.0,1386.0,849.0
1004.0,1159.0,238.0,1159.0,237.0,207.0
116.0,116.0,1281.0,1252.0,1280.0,1250.0
1189.0,1189.0,208.0,1189.0,207.0,177.0
324.0,423.0,479.0,479.0,907.0,370.0
155.0,902.0,0.0,1368.0,1396.0,1366.0
267.0,480.0,975.0,422.0,974.0,944.0
1027.0,1027.0,1027.0,341.0,369.0,339.0
1119.0,217.0,278.0,249.0,277.0,270.0
155.0,902.0,0.0,0.0,1396.0,849.0
155.0,902.0,1397.0,1368.0,1396.0,849.0
0.0,902.0,1397.0,0.0,1396.0,849.0
0.0,0.0,0.0,1368.0,1396.0,1366.0
1016.0,269.0,226.0,197.0,225.0,195.0
407.5,339.5,562.5,805.5,833.5,803.5
381.0,366.0,536.0,832.0,860.0,313.0
1059.0,1214.0,183.0,1214.0,182.0,365.0
297.5,449.5,944.5,915.5,943.5,396.5
0.0,902.0,0.0,1368.0,1396.0,849.0
26.0,773.0,1268.0,129.0,1267.0,1237.0
1088.0,1243.0,154.0,125.0,153.0,123.0
155.0,0.0,0.0,1368.0,1386.0,1366.0
1358.0,1358.0,39.0,10.0,38.0,8.0
155.0,902.0,1397.0,0.0,1396.0,1366.0
0.0,902.0,1397.0,0.0,1396.0,849.0
0.0,0.0,0.0,1368.0,1386.0,1366.0
554.0,348.0,554.0,554.0,842.0,295.0
0.0,0.0,0.0,1368.0,1396.0,849.0
0.0,902.0,1397.0,0.0,1396.0,1366.0
155.0,902.0,1397.0,1368.0,1396.0,1366.0
1067.0,1222.0,1222.0,1222.0,174.0,373.0
155.0,0.0,1397.0,1368.0,1396.0,1366.0
0.0,0.0,0.0,1368.0,1396.0,1366.0
1392.0,1392.0,1392.0,24.0,4.0,26.0
465.0,437.0,932.0,465.0,931.0,901.0
620.0,620.0,777.0,620.0,766.0,746.0
406.0,341.0,561.0,807.0,835.0,288.0
36.33,191.33,1205.67,1176.67,1194.67,1174.67
1348.0,1348.0,1348.0,1348.0,48.0,18.0
0.0,902.0,0.0,0.0,1396.0,1366.0
179.0,723.0,179.0,179.0,1217.0,1187.0
1274.0,372.0,1274.0,1274.0,122.0,425.0
1266.0,519.0,24.0,1421.0,25.0,572.0
155.0,902.0,1397.0,0.0,1396.0,849.0
155.0,902.0,1397.0,0.0,1396.0,1366.0
155.0,0.0,1397.0,0.0,1396.0,849.0
43.33,703.67,1198.67,1169.67,1197.67,650.67
1421.0,1421.0,1421.0,53.0,25.0,572.0
0.0,902.0,1397.0,0.0,1396.0,1366.0
0.0,0.0,1397.0,1368.0,1396.0,1366.0
239.5,507.5,394.5,394.5,1001.5,971.5
1106.0,1261.0,1261.0,1261.0,125.0,105.0
461.0,616.0,781.0,616.0,780.0,750.0
453.0,294.0,789.0,608.0,788.0,758.0
302.0,445.0,457.0,457.0,939.0,909.0
0.0,902.0,1397.0,0.0,1396.0,1366.0
0.0,0.0,1397.0,0.0,1396.0,849.0
0.0,0.0,0.0,1368.0,1386.0,1366.0
0.0,902.0,1397.0,0.0,1396.0,1366.0
155.0,902.0,1397.0,0.0,1396.0,1366.0
155.0,902.0,0.0,1368.0,1396.0,849.0
155.0,902.0,0.0,1368.0,1396.0,1366.0
0.0,902.0,1397.0,1368.0,1386.0,1366.0
1358.0,456.0,1358.0,10.0,28.0,8.0
