ta_r,ta_l,mm_r,mm_l,da_r,da_l
0.25,0.25,0.17,0.25,0.18,0.18
0.18,0.13,0.1,0.11,0.11,0.11
0.09,0.07,0.05,0.12,0.06,0.08
0.0,0.0,0.0,0.0,0.07,0.05
0.19,0.23,0.15,0.23,0.16,0.16
0.1,0.1,0.03,0.04,0.04,0.03
0.16,0.16,0.09,0.16,0.1,0.1
0.09,0.08,0.13,0.13,0.06,0.08
0.04,0.05,0.0,0.06,0.06,0.07
0.09,0.08,0.06,0.13,0.07,0.06
0.16,0.16,0.16,0.1,0.1,0.09
0.14,0.09,0.07,0.08,0.07,0.09
0.04,0.05,0.0,0.0,0.06,0.05
0.04,0.05,0.07,0.06,0.06,0.05
0.0,0.05,0.07,0.0,0.06,0.05
0.0,0.0,0.0,0.06,0.06,0.07
0.24,0.23,0.21,0.22,0.21,0.21
0.17,0.16,0.21,0.15,0.15,0.14
0.13,0.12,0.17,0.11,0.11,0.12
0.14,0.17,0.1,0.17,0.11,0.13
0.09,0.07,0.05,0.06,0.06,0.08
0.0,0.05,0.0,0.06,0.06,0.05
0.1,0.08,0.06,0.13,0.07,0.07
0.16,0.19,0.12,0.13,0.13,0.13
0.04,0.0,0.0,0.06,0.07,0.07
0.15,0.15,0.08,0.09,0.09,0.09
0.04,0.05,0.07,0.0,0.06,0.07
0.0,0.05,0.07,0.0,0.06,0.05
0.0,0.0,0.0,0.06,0.07,0.07
0.12,0.07,0.12,0.12,0.06,0.07
0.0,0.0,0.0,0.06,0.06,0.05
0.0,0.05,0.07,0.0,0.06,0.07
0.04,0.05,0.07,0.06,0.06,0.07
0.11,0.15,0.15,0.15,0.09,0.1
0.04,0.0,0.07,0.06,0.06,0.07
0.0,0.0,0.0,0.06,0.06,0.07
0.29,0.29,0.29,0.23,0.23,0.22
0.17,0.12,0.1,0.17,0.11,0.1
0.19,0.19,0.12,0.19,0.12,0.12
0.1,0.08,0.13,0.07,0.07,0.09
0.16,0.19,0.12,0.13,0.13,0.13
0.18,0.18,0.18,0.18,0.12,0.11
0.0,0.05,0.0,0.0,0.06,0.07
0.23,0.18,0.23,0.23,0.17,0.17
0.17,0.12,0.17,0.17,0.11,0.13
0.1,0.08,0.06,0.13,0.07,0.09
0.04,0.05,0.07,0.0,0.06,0.05
0.04,0.05,0.07,0.0,0.06,0.07
0.04,0.0,0.07,0.0,0.06,0.05
0.07,0.06,0.04,0.05,0.04,0.06
0.16,0.16,0.16,0.1,0.1,0.12
0.0,0.05,0.07,0.0,0.06,0.07
0.0,0.0,0.07,0.06,0.06,0.07
0.06,0.05,0.1,0.1,0.03,0.03
0.15,0.19,0.19,0.19,0.12,0.12
0.09,0.13,0.05,0.13,0.06,0.06
0.09,0.08,0.06,0.13,0.07,0.06
0.17,0.16,0.21,0.21,0.14,0.14
0.0,0.05,0.07,0.0,0.06,0.07
0.0,0.0,0.07,0.0,0.06,0.05
0.0,0.0,0.0,0.06,0.07,0.07
0.0,0.05,0.07,0.0,0.06,0.07
0.04,0.05,0.07,0.0,0.06,0.07
0.04,0.05,0.0,0.06,0.06,0.05
0.04,0.05,0.0,0.06,0.06,0.07
0.0,0.05,0.07,0.06,0.07,0.07
0.22,0.17,0.22,0.16,0.15,0.15
