ta_r,ta_l,mm_r,mm_l,da_r,da_l
70.33,173.33,135.67,96.33,26.67,208.17
80.33,183.33,125.67,80.92,16.67,198.17
192.0,20.5,43.75,77.67,6.75,189.5
141.33,71.17,167.67,122.92,58.67,240.17
201.0,201.0,34.75,68.67,1.0,180.5
115.33,5.83,90.67,45.92,18.33,163.17
96.33,13.17,36.42,64.92,0.67,182.17
287.67,287.67,51.92,23.42,87.67,93.83
190.0,190.0,119.0,74.25,10.0,191.5
43.2,146.2,162.8,118.05,53.8,235.3
258.0,45.5,22.25,6.25,58.0,123.5
90.0,19.5,116.0,71.25,270.0,188.5
234.67,234.67,74.33,29.58,34.67,146.83
288.5,288.5,20.5,24.25,88.5,93.0
177.0,35.5,58.75,87.25,23.0,204.5
103.0,212.5,309.0,264.25,463.0,381.5
189.0,79.5,56.25,27.75,171.0,89.5
228.0,15.5,81.0,36.25,235.0,153.5
279.0,66.5,43.25,9.33,184.0,102.5
758.0,648.5,625.25,596.75,661.0,479.5
242.33,132.83,36.33,75.67,145.33,36.17
231.0,121.5,98.25,64.33,134.0,47.5
251.33,38.83,15.58,18.33,51.33,130.17
201.0,91.5,68.25,39.75,159.0,77.5
112.67,3.17,20.08,54.0,15.67,165.83
113.33,3.83,92.67,47.92,16.33,165.17
142.67,33.17,9.92,24.0,217.33,135.83
234.67,125.17,28.67,68.0,137.67,43.83
103.0,212.5,235.75,264.25,463.0,381.5
105.33,4.17,27.42,61.33,8.33,173.17
168.0,271.0,38.0,6.75,71.0,110.5
280.0,280.0,29.0,15.75,183.0,101.5
367.0,154.5,58.0,102.75,96.0,14.5
204.33,94.83,71.58,43.08,155.67,74.17
279.5,170.0,146.75,118.25,80.5,1.0
287.5,287.5,21.5,17.83,87.5,94.0
94.75,197.75,38.0,71.92,2.25,183.75
155.33,45.83,50.67,5.92,204.67,123.17
55.5,158.5,77.25,105.75,41.5,223.0
103.0,212.5,235.75,264.25,463.0,0.0
167.33,57.83,38.67,0.67,192.67,111.17
195.0,195.0,40.75,69.25,268.0,186.5
92.33,17.17,113.67,74.33,4.67,186.17
87.67,21.83,118.33,73.58,272.33,190.83
256.33,146.83,50.33,89.67,103.67,22.17
111.67,2.17,21.08,55.0,14.67,166.83
110.0,213.0,96.0,56.67,250.0,168.5
186.0,76.5,53.25,19.33,89.0,92.5
83.67,25.83,122.33,77.58,276.33,194.83
262.0,49.5,47.0,2.25,62.0,119.5
110.75,1.25,22.0,50.5,249.25,167.75
1285.0,1175.5,1079.0,1123.75,1188.0,1006.5
131.33,21.83,1.42,29.92,228.67,147.17
226.33,116.83,20.33,59.67,129.33,52.17
178.0,68.5,45.25,11.33,81.0,100.5
134.0,24.5,72.0,27.25,226.0,144.5
60.5,49.0,145.5,100.75,36.5,218.0
184.0,28.5,125.0,80.25,16.0,197.5
152.0,152.0,83.75,117.67,311.0,229.5
365.0,152.5,56.0,100.75,98.0,16.5
182.67,73.17,23.33,16.0,177.33,95.83
75.5,178.5,57.25,85.75,21.5,203.0
219.33,109.83,86.58,58.08,140.67,59.17
103.0,212.5,235.75,269.67,463.0,381.5
227.0,117.5,94.25,60.33,130.0,51.5
100.5,9.0,32.25,60.75,259.5,178.0
