ta_r,ta_l,mm_r,mm_l,da_r,da_l
9.47,25.17,73.17,94.0,87.92,137.67
74.83,78.83,87.67,10.0,92.58,9.0
16.7,3.5,47.0,67.83,14.75,68.83
30.87,17.67,32.83,53.67,28.92,54.67
24.87,11.67,157.33,59.67,53.58,103.33
89.53,76.33,25.83,5.0,11.08,4.0
23.53,7.83,40.17,61.0,54.92,62.0
60.95,45.25,2.75,23.58,17.5,24.58
105.0,111.5,61.0,40.17,46.25,39.17
58.53,45.33,5.17,26.0,56.58,69.67
71.2,58.0,111.0,13.33,7.25,14.33
12.2,1.0,51.5,72.33,10.25,73.33
30.53,14.83,33.17,54.0,28.58,55.0
58.87,43.17,4.83,25.67,56.92,26.67
16.2,0.5,47.5,68.33,62.25,69.33
174.2,161.0,110.5,89.67,172.25,88.67
52.53,36.83,11.17,32.0,50.58,33.0
72.2,59.0,110.0,12.33,6.25,13.33
66.2,50.5,116.0,18.33,12.25,19.33
90.2,77.0,26.5,5.67,88.25,4.67
132.83,139.33,88.83,68.0,74.08,67.0
125.2,109.5,61.5,40.67,123.25,3.0
39.53,23.83,24.17,45.0,37.58,46.0
2.05,17.75,184.25,86.58,4.0,130.25
18.53,2.83,45.17,66.0,16.58,67.0
67.2,54.0,115.0,17.33,11.25,18.33
128.53,115.33,53.67,44.0,126.58,43.0
58.7,45.5,123.5,25.83,56.75,26.83
34.2,21.0,29.5,50.33,44.25,51.33
2.2,13.5,61.5,82.33,76.25,83.33
49.2,36.0,14.5,35.33,29.25,36.33
34.53,18.83,29.17,50.0,32.58,51.0
183.87,170.67,120.17,99.33,181.92,98.33
40.7,25.0,141.5,43.83,38.75,87.5
24.25,28.25,19.75,40.58,34.5,41.58
34.95,19.25,147.25,49.58,43.5,50.58
143.2,127.5,79.5,58.67,64.75,57.67
0.13,15.83,63.83,84.67,78.58,128.33
41.45,28.25,140.75,43.08,37.0,44.08
161.8,177.5,225.5,246.33,163.75,247.33
25.7,12.5,156.5,58.83,52.75,59.83
52.2,39.0,11.5,32.33,26.25,33.33
66.53,53.33,2.83,18.0,64.58,19.0
21.95,8.75,160.25,62.58,20.0,63.58
38.5,45.0,124.0,26.33,56.25,27.33
41.95,28.75,21.75,42.58,36.5,43.58
116.2,103.0,52.5,31.67,114.25,30.67
54.87,39.17,8.83,2.0,23.58,30.67
22.95,9.75,40.75,61.58,21.0,62.58
109.87,96.67,46.17,25.33,31.42,24.33
11.2,4.5,52.5,73.33,9.25,74.33
11.45,1.75,52.25,73.08,9.5,116.75
146.87,133.67,83.17,62.33,144.92,61.33
75.2,59.5,11.5,9.33,73.25,10.33
28.2,15.0,154.0,56.33,50.25,57.33
35.7,22.5,28.0,48.83,33.75,92.5
62.53,46.83,119.67,22.0,60.58,23.0
38.95,23.25,143.25,45.58,37.0,46.58
62.87,47.17,119.33,21.67,15.58,65.33
29.45,13.75,34.25,55.08,49.0,56.08
85.2,69.5,97.0,0.67,83.25,43.0
23.45,10.25,40.25,61.08,55.0,62.08
1.8,15.0,65.5,86.33,3.75,130.0
1.87,11.33,61.83,82.67,0.08,83.67
5.4,7.8,58.3,79.13,73.05,80.13
60.95,45.25,121.25,23.58,17.5,24.58
